INFO:install_scale_ui_mod.py:USER_HOME = C:\Users\petri\steam\steamapps\workshop\content\236850\1095412287
INFO:install_scale_ui_mod.py:PROGRAM_BASE = C:\Program Files (x86)
INFO:install_scale_ui_mod.py:GIMP_HOME=C:\Program Files\GIMP 2
INFO:install_scale_ui_mod.py:GAME_HOME=C:\Users\petri\steam\steamapps\common\Europa Universalis IV
INFO:install_scale_ui_mod.py:MOD_DIR=C:\Users\petri\steam\steamapps\workshop\content\236850/scale_ui_2160p
INFO:install_scale_ui_mod.py:SCALE_FACTOR=2.0
INFO:install_scale_ui_mod.py:PYTHON_BIN=C:\Program Files\GIMP 2\bin/python
INFO:rescale_gfx.py:Load dds file = ACCUSATION_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = ADVISOR_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = ANGRY_MOB_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = ARTWORK_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = ASSASSINATION_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = BAD_WITH_MONARCH_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = BANKRUPTCY_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = BARBARY_PIRATES_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = BATTLE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = BIG_BOOK_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = BORDER_TENSION_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = BUCCANEERS_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = BUDDHA_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = CARIBBEAN_PIRATE_FORT_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = CITY_DEVELOPMENT_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = CITY_VIEW_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = CIVIL_WAR_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = COLONIZATION_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = COMET_SIGHTED_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = CONQUEST_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = CORRUPTION_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = COUNTRY_COLLAPSE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = COURT_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = CULTURE_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = DEATH_OF_HEIR_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = DEBATE_REPUBLICAN_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = DIPLOMACY_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = ECONOMY_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = ELECTION_REPUBLICAN_eventPicture.dds
INFO:rescale_gfx.py:Load dds file = ENCOMIENDA_eventPicture.dds
